timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime
1744892417163,97,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-1,text,true,,177,210,1,2,http://localhost:8080/cars/rent/ABC123,97,0
1744892417697,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-2,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,3,0
1744892418297,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-3,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,4,0
1744892418895,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-4,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,3,0
1744892419494,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-5,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892420095,11,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-6,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,11,0
1744892420696,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-7,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892421296,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-8,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,4,0
1744892421896,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-9,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892422495,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-10,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,4,0
1744892423095,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-11,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,5,0
1744892423695,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-12,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,4,0
1744892424295,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-13,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,5,0
1744892424892,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-14,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,4,0
1744892425493,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-15,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,4,0
1744892426092,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-16,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,5,0
1744892426692,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-17,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,4,0
1744892427292,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-18,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,4,0
1744892427891,6,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-19,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,6,0
1744892428491,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-20,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,3,0
1744892429091,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-21,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,4,0
1744892429692,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-22,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,5,0
1744892430291,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-23,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,2,0
1744892430891,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-24,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,5,0
1744892431492,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-25,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,3,0
1744892432100,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-26,text,true,,177,210,1,2,http://localhost:8080/cars/rent/ABC123,5,0
1744892432691,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-27,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,4,0
1744892433291,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-28,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892433892,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-29,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,3,0
1744892434492,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-30,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892435092,26,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-31,text,true,,177,210,1,2,http://localhost:8080/cars/rent/XYZ789,26,0
1744892435690,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-32,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,3,0
1744892436291,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-33,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,4,0
1744892436891,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-34,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,3,0
1744892437492,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-35,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892438091,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-36,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,3,0
1744892438690,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-37,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,3,0
1744892439292,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-38,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,3,0
1744892439891,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-39,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,4,0
1744892440491,2,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-40,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,2,0
1744892441090,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-41,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,3,0
1744892441691,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-42,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,3,0
1744892442292,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-43,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892442892,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-44,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,3,0
1744892443490,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-45,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,3,0
1744892444090,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-46,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,3,0
1744892444691,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-47,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,4,0
1744892445292,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-48,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,4,0
1744892445891,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-49,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,4,0
1744892446491,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-50,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,2,0
